原ID,原開放建議標題,原派發機關,建議資料集名稱,建議開放的欄位,建議原因,瀏覽次數,建議者,發表時間,頁面連結,標記人,標記時間,標記用＿ID,標記用＿開放建議標題,標記用＿派發機關,0. 政府對民眾申請開放資料的答覆是？,F1. 分案理由,F2. 派發機關數量是否正確,F3. 派發機關數量落差,F4. 派發且回覆數量是否完整,F5. 實際派發且回覆的機關數量,F6. 派發後實際回覆的機關數量有落差之數量,F7. 備註＿自行輸入,F8. 備註＿特定情況1,A1. 是否為開放資料？,(續) A2. 如果目前非開放資料，有說將來提供開放資料嗎？,A3. 是民眾需要的全部還是部分資料？,A4. (續) 目前只提供部分，有說將來要把資料補齊嗎？(填完請填A5),(續) A5. 目前只提供部分的原因1,(續) A6. 目前只提供部分的原因2,(續) A7. 目前只提供部分的原因3,A8. 准駁摘要,A9. 備註＿自行輸入1,A10. 備註＿特定情況1,A11. 備註＿特定情況2,A12. 備註＿特定情況3,A13. 備註＿特定情況4,B1. 是否有說明具體提供時間，或已回報提供？,"B1a. (續) 承諾提供時間為？
 格式：2019/06",B2. 是否提供開放資料？,B3. 是民眾需要的全部還是部分資料？,B4. 只提供部分的原因是？,B5. 只提供部分的原因是？,B6. 只提供部分的原因是？,B7. 准駁關鍵語句或摘要 (重點即可),B8. 備註＿自行輸入,B9. 備註＿特定情況1,B10. 備註＿特定情況2,B11. 備註＿特定情況3,C1. 不同意開放的原因是1,C2. 不同意開放的原因2,C3. 不同意開放的原因是3,C4. 准駁摘要,C5. 備註＿自行輸入,C6. 備註＿特定情況1,C7. 備註＿特定情況2,C8. 備註＿特定情況3,"DEGH1. 無法判斷/還未回覆/對於資料平台的意見/業務陳情意見而無關資料申請
 備註＿自行輸入",DEGH2. 備註＿特定情況1,DEGH3. 備註＿特定情況2,DEGH4. 備註＿特定情況3,V1. 驗證發現1,V2. 驗證發現1＿詳細描述：請貼上網址、或是細節文字,V3. 驗證發現2,V4. 驗證發現2＿詳細描述：請貼上網址、或是細節文字
100640,開放個股日成交資訊API,金融監督管理委員會,個股日成交資訊,現有欄位,程式直接讀取,195,J***n,2019/04/03 17:51,https://data.gov.tw/node/100640,york,2019/5/7 下午 2:33:43,100640,開放個股日成交資訊API,金融監督管理委員會,C. 不同意提供 (跳C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,無法判斷原因,,,,看來是搞錯API的意思。,負面案例,未導引至相關網頁,,,,,,問答內文都沒提到，但是我知道這次的主題資料與以下網站內容密切相關,http://www.twse.com.tw/exchangeReport/STOCK_DAY?response=csv&date=20180101&stockNo=1323,,
100556,商業設立/變更/解散登記清冊希望有行業別之欄位,經濟部,原資料集名稱,行業別,分析特定產業之區域性消長狀況，目前雖有縣市別之數量統計，但希望能夠有更細緻的維度,202,w***g,2019/04/01 17:54,https://data.gov.tw/node/100556,york,2019/5/7 下午 3:40:37,100556,商業設立/變更/解散登記清冊希望有行業別之欄位,經濟部,A. 申請前已對外提供 (續A),,,,,,,,,開放資料 (跳A3),,全部資料,,,,,,給了許多附連結的相關資料供拼湊,正面案例,申請者還需要自行演算或加工資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100510,勞工保險各縣市投保級距人數,勞動部,勞工保險各縣市投保級距人數,縣市(依公司所在地)、月份、各投保級距、投保人數。例如: 假設有一家公司設址在桃園市，3月公司有300人，200人薪水為3萬，100人薪水為5萬，則統計為新北市、3月、各投保級距、投保級距3萬有200人、投保級距5萬有100人，希望能公布2000年後的資料,藉由瞭解各公司幫員工投保的級數，可以知道各縣市經濟發展的狀況，並可用於監督公司是否有低報投保級距的可能，亦可從中可以知道於該地生活的民眾，實際可以運用的收入有多少，是否與地區消費高低成正比等用途。,242,w***u,2019/03/31 4:01,https://data.gov.tw/node/100510,york,2019/5/7 下午 4:11:22,100510,勞工保險各縣市投保級距人數,勞動部,B. 同意提供 (跳B),,,,,,,,,,,,,,,,,,,,,,有說明時間 (續B1a),2020/03,提供開放資料,全部資料,,,,未產製,申請者追問導致機關給定期程,正面案例,民眾於留言中追問,,,,,,,,,,,,,,,,,
98805,敬請提供國內近年不同年齡層對於使用行動支付之普及率及消費場域佔比等資料,國家發展委員會,行動支付調查,年齡層使用趨勢及消費場域,"因近年政府機關推動行動支付普及率提升之目標,若能提供不同年齡層之近年使用趨勢情形及消費場域佔比等資料,將有助於相關業者對於行動支付市場之拓展",137,A***1,2019/02/13 23:44,https://data.gov.tw/node/98805,chewei,2019/07/05,98805,敬請提供國內近年不同年齡層對於使用行動支付之普及率及消費場域佔比等資料,國家發展委員會,A. 申請前已對外提供 (續A),,,,,1,,,,不是開放資料 (續A2),沒說要提供,全部資料,,沒有說明原因,非資料所有機關,,根據資策會產業情報研究所（MIC）於本(108)年1月公布之「行動支付大調查」，更多詳細資料建議可參考該所官方新聞稿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98682,最新氣象相關資料,交通部,氣象資料集,希望可以提供連結，讓我們可以取得即時氣象資料如氣溫和雨量，此外還希望可以提供雲量的資料，可以有更原始的Excel檔，更利於使用,競賽所需,126,h***n,2019/02/12 19:19,https://data.gov.tw/node/98682,chewei,2019/07/05,98682,最新氣象相關資料,交通部,F. 要分案,申請者於本次申請提出兩種以上的資料需求,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98682,最新氣象相關資料,交通部,氣象資料集,希望可以提供連結，讓我們可以取得即時氣象資料如氣溫和雨量，此外還希望可以提供雲量的資料，可以有更原始的Excel檔，更利於使用,競賽所需,126,h***n,2019/02/12 19:19,https://data.gov.tw/node/98682,chewei,2019/07/05,98682.0.1,最新氣象相關資料-即時氣象資料如氣溫和雨量,交通部,A. 申請前已對外提供 (續A),,,,,,,,,開放資料 (跳A3),,全部資料,,,,,,,資料所在未提供連結,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98682,最新氣象相關資料,交通部,氣象資料集,希望可以提供連結，讓我們可以取得即時氣象資料如氣溫和雨量，此外還希望可以提供雲量的資料，可以有更原始的Excel檔，更利於使用,競賽所需,126,h***n,2019/02/12 19:19,https://data.gov.tw/node/98682,chewei,2019/07/05,98682.0.2,最新氣象相關資料-雲量,交通部,B. 同意提供 (跳B),,,,,1,,,,,,,,,,,,,,,,,有說明時間 (續B1a),2019/05,提供開放資料,全部資料,,,,本部中央氣象局將盡快著手規劃、設計及測試資料提供方式，預計於108年4-5月提供json及XML格式資料供大眾下載使用,申請者的理由是「競賽所需」,,,,,,,,,,,,,,,,,,,
98611,部會、機關、縣市政府等財團法人名冊彙整名錄/名冊,"行政院,內政部,外交部,國防部,教育部,法務部,經濟部,交通部,僑務委員會,國軍退除役官兵輔導委員會,行政院原子能委員會,科技部,行政院農業委員會,勞動部,行政院環境保護署,大陸委員會,原住民族委員會,金融監督管理委員會,國家通訊傳播委員會,衛生福利部,文化部,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府",foundation.csv; foundation.txt,基金會統一編號、基金會名稱、基金會代碼、設立許可文號、設立許可日期、許可機構、所在地、董事長、執行長或同等職位人員、狀態、聯絡電話、聯絡地址、官方網址、原始設立基金金額、最新法人登記證書之財產總額,協助相關使用單位研究基金會與公司法人或其他法人之相關聯,1252,j***n,2019/02/12 15:40,https://data.gov.tw/node/98611,淑貞,2019/4/27 上午 6:52:49,98611,部會、機關、縣市政府等財團法人名冊彙整名錄/名冊,要分案,F. 要分案,派發給「中央部會」與「地方政府」,派發機關數量有落差,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98611,部會、機關、縣市政府等財團法人名冊彙整名錄/名冊,"行政院,內政部,外交部,國防部,教育部,法務部,經濟部,交通部,僑務委員會,國軍退除役官兵輔導委員會,行政院原子能委員會,科技部,行政院農業委員會,勞動部,行政院環境保護署,大陸委員會,原住民族委員會,金融監督管理委員會,國家通訊傳播委員會,衛生福利部,文化部,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府",foundation.csv; foundation.txt,基金會統一編號、基金會名稱、基金會代碼、設立許可文號、設立許可日期、許可機構、所在地、董事長、執行長或同等職位人員、狀態、聯絡電話、聯絡地址、官方網址、原始設立基金金額、最新法人登記證書之財產總額,協助相關使用單位研究基金會與公司法人或其他法人之相關聯,1252,j***n,2019/02/12 15:40,https://data.gov.tw/node/98611,淑貞,2019/4/27 上午 8:02:17,98611.5,部會、機關、縣市政府等財團法人名冊彙整名錄/名冊,教育部,B. 同意提供 (跳B),,,,,,,,,,,,,,,,,,,,,,沒有時間表,,無法判斷,無法判斷,已提供單筆查詢功能,建置中,,由於相關資料眾多，本部尚須時間彙整相關資料，資料彙整後將另行上傳至政府資料開放平臺，另本部教育基金會資訊網（https://foundation.moe.edu.tw/eFound/）可供查詢本部所轄各教育基金會之基本資料，提供您參考。,資料繁雜建置中，但目前已有查詢平台,正面案例,因為民眾申請才開放,,,,,,,,,,,,,,,,,
98611,部會、機關、縣市政府等財團法人名冊彙整名錄/名冊,"行政院,內政部,外交部,國防部,教育部,法務部,經濟部,交通部,僑務委員會,國軍退除役官兵輔導委員會,行政院原子能委員會,科技部,行政院農業委員會,勞動部,行政院環境保護署,大陸委員會,原住民族委員會,金融監督管理委員會,國家通訊傳播委員會,衛生福利部,文化部,臺南市政府,高雄市政府,臺東縣政府,嘉義市政府,屏東縣政府,南投縣政府,花蓮縣政府,澎湖縣政府,嘉義縣政府,金門縣政府,苗栗縣政府,雲林縣政府,桃園市政府,宜蘭縣政府,新北市政府,連江縣政府,臺中市政府,新竹縣政府,新竹市政府,臺北市政府",foundation.csv; foundation.txt,基金會統一編號、基金會名稱、基金會代碼、設立許可文號、設立許可日期、許可機構、所在地、董事長、執行長或同等職位人員、狀態、聯絡電話、聯絡地址、官方網址、原始設立基金金額、最新法人登記證書之財產總額,協助相關使用單位研究基金會與公司法人或其他法人之相關聯,1252,j***n,2019/02/12 15:40,https://data.gov.tw/node/98611,淑貞,2019/4/27 上午 8:07:29,98611.6,部會、機關、縣市政府等財團法人名冊彙整名錄/名冊,法務部,C. 不同意提供 (跳C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,要 A 給 B,,,建議參酌本部網站「財團法人專區」（路徑：首頁/法務部簡介/重要措施/保護司/財團法人專區）,,負面案例,,,,,,,,內容多是報告 https://www.moj.gov.tw/np-226-001.html,,
